REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,Griffith Energy Project,35.0517,-114.1334,GOLDEN VALLEY,Mohave,AZ,86413,ARCLIGHT CAPITAL HOLDINGS LLC (100%),922648,"C,D",1001326,3375 WEST NAVAJO ROAD
2020,Groton Generating Station,45.3718,-98.1032,GROTON,Brown,SD,57445,BASIN ELECTRIC POWER COOPERATIVE (100%),63413,D,1000451,HWY 37
2020,Guadalupe Generating Station,29.6237,-98.1395,MARION,Guadalupe,TX,78124,VOLT PARENT LP (100%),2594047,"C,D",1006040,5740 WEIL ROAD
2020,Gulf Clean Energy Center,30.5661,-87.2289,PENSACOLA,Escambia,FL,32514,NEXTERA ENERGY INC (100%),1146223,D,1006702,11999 PATE ST
2020,H A Wagner LLC,39.1781,-76.5268,Baltimore,Anne Arundel,MD,21226,TALEN ENERGY CORP (100%),111964,"C,D",1005995,3000 Brandon Shores Rd
2020,H B Robinson / Darlington Electric Power Plant,34.4017,-80.1589,HARTSVILLE,Darlington,SC,29550,DUKE ENERGY CORP (100%),4756,"C,D",1000906,3581 WEST ENTRANCE ROAD
2020,H F Lee Steam Electric Plant,35.3775,-78.0875,GOLDSBORO,Wayne,NC,27530,DUKE ENERGY CORP (100%),2310355,"C,D",1000786,1199 Black Jack Church Rd
2020,H L Spurlock,38.7,-83.8175,MAYSVILLE,Mason,KY,41056,EAST KENTUCKY POWER COOPERATIVE INC (100%),6857164,"C,D",1007640,ROUTE 8
2020,H W Pirkey Power Plant,32.4607,-94.4852,HALLSVILLE,Harrison,TX,75650,AMERICAN ELECTRIC POWER CO INC (85.936%); OKLAHOMA MUNICIPAL POWER AUTHORITY (2.344%); NORTHEAST TEXAS ELECTRIC COOPERATIVE (11.72%),2248112,D,1001176,2396 FM RD 3251
2020,HAL C WEAVER POWER PLANT,30.28724,-97.73589,AUSTIN,TRAVIS COUNTY,TX,78713,UNIVERSITY OF TEXAS SYSTEM (100%),197381,C,1003645,215 E 24TH
2020,HAMAKUA ENERGY PARTNERS,20.094083,-155.471028,HONOKAA,HAWAII COUNTY,HI,96727,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),114978,C,1001802,45-300 LEHUA STREET
2020,HAMPTON/NASA STEAM PLANT,37.1006,-76.39072,HAMPTON,HAMPTON CITY,VA,23666,CITY OF HAMPTON (100%),22891,C,1000564,50 WYTHE CREEK ROAD
2020,HANK NIKKELS PLANT ONE,61.22141,-149.86579,ANCHORAGE,ANCHORAGE MUNICIPALITY,AK,99501,CHUGACH ELECTRIC ASSOC INC (100%),6355,C,1003492,821 EAST FIRST AVENUE
2020,HAWAII ELECTRIC LIGHT CO (HELCO) - KANOELEHUA HILL GENERATING STATION,19.70467,-155.06314,HILO,HAWAII COUNTY,HI,96720,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),177928,C,1001552,54 HALEKAUILA STREET
2020,HAWAII ELECTRIC LIGHT CO (HELCO) - KEAHOLE GENERATING STATION,19.716,-156.03327,KAILUA KONA,HAWAII COUNTY,HI,96740,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),271812,C,1001557,73-4249 PUKIAWE ST.
2020,HAWAII ELECTRIC LIGHT CO (HELCO) - PUNA GENERATING STATION,19.6316,-155.0312,KEAAU,HAWAII COUNTY,HI,96749,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),58793,C,1001555,
2020,HAWAIIAN ELECTRIC COMPANY (HECO) - WAIAU GENERATING STATION,21.388997,-157.961171,PEARL CITY,HONOLULU COUNTY,HI,96782,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),628321,C,1007845,475 KAMEHAMEHA HIGHWAY
2020,HAWAIIAN ELECTRIC COMPANY (HECO) CAMPBELL INDUSTRIAL PARK GENERATING STATION,21.310595,-158.10339,KAPOLEI,HONOLULU COUNTY,HI,96707,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),115227,C,1006105,91-196 HANUA ST
2020,HAWAIIAN ELECTRIC COMPANY (HECO) KAHE GENERATING STATION,21.356648,-158.127993,Kapolei,HONOLULU COUNTY,HI,96707,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),1883776,C,1007740,92-200 Farrington Highway
2020,HAWAIIAN ELECTRIC COMPANY (HECO)-HONOLULU GENERATING STATION,21.305722,-157.864111,HONOLULU,HONOLULU COUNTY,HI,96813,HAWAIIAN ELECTRIC INDUSTRIES INC (100%),0,C,1005886,170 ALA MOANA BLVD
2020,HENNEPIN COUNTY ENERGY CENTER,44.97206,-93.25783,MINNEAPOLIS,HENNEPIN COUNTY,MN,55415,CLEARWAY ENERGY INC (100%),31460,C,1005637,600 10TH AVENUE SOUTH
2020,"HERMISTON GENERATING COMPANY, L.P.",45.8042,-119.37,HERMISTON,UMATILLA COUNTY,OR,97838,PACIFICORP (50%); PERENNIAL POWER HOLDINGS INC (50%),940925,D,1003652,78145 WESTLAND RD.
2020,HIBBING PUBLIC UTILITIES COMMISSION,47.429087,-92.935269,HIBBING,ST. LOUIS COUNTY,MN,55746,CITY OF HIBBING (100%),36084,"C,NN",1002484,1832 6TH AVENUE EAST
2020,HIGH SIERRA LIMITED,35.491672,-119.041739,BAKERSFIELD,KERN COUNTY,CA,93308,HIGH SIERRA LTD (100%),12167,C,1002821,10600 OIL FIELD ROAD
2020,Hamilton Liberty LLC,41.7693656,-76.4794435,Towanda,,PA,18848,COGENTRIX ENERGY (100%),1864690,"C,D",1012196,151 Liberty Lane
2020,Hamilton Patriot,41.1889715,-76.8951551,Montgomery,,PA,17752,COGENTRIX ENERGY (100%),2219324,"C,D",1012122,50 Patriot Lane
2020,Handley Generating Station,32.7278,-97.2186,FORT WORTH,Tarrant,TX,76112,EXELON CORP (100%),388204,"C,D",1000942,6604 EAST ROSEDALE ST
2020,Handsome Lake Energy,41.2908,-79.8061,KENNERDELL,Venango,PA,16374,EXELON CORP (100%),80577,D,1001378,173 Cornplanter Lane
2020,Hanford Energy Park Peaker,36.2689,-119.6469,HANFORD,Kings,CA,93230,MIDDLE RIVER POWER LLC (100%),11545,D,1000130,10550 IDAHO AVE
2020,"Hanging Rock Power Company, LLC",38.5731,-82.7833,IRONTON,Lawrence,OH,45638,Vistra Corp (100%),3799342,"C,D",1000153,1395 COUNTY RD 1A
2020,Harbor Generating Station,33.7691,-118.2662,WILMINGTON,Los Angeles,CA,90744,CITY OF LOS ANGELES (100%),40571,D,1001455,161 N ISLAND AVE
